Timestamp,Target,Model,BestParams,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_R2,Test_R2
2025-06-23 19:26:56.674800,UNMEM_Mission_success_score,LinearRegression,{},1.9216146493332673e-14,1.7666410500057197e-14,1.4871824701955586e-14,1.227301089040173e-14,1.0,1.0
2025-06-23 19:27:01.947058,UNMEM_Mission_success_score,Lasso,{'alpha': 0.01},0.0033329027923321573,0.005503857356514181,0.002391011274395026,0.004328318148256536,0.9999999688874313,0.9999999171102908
2025-06-23 19:27:03.404240,UNMEM_Mission_success_score,Ridge,{'alpha': 0.01},5.99086772290386e-06,1.0032506736295636e-05,4.428188886953355e-06,7.75679101669172e-06,0.9999999999998995,0.9999999999997246
2025-06-23 19:27:04.848300,UNMEM_Mission_success_score,ElasticNet,"{'alpha': 0.01, 'l1_ratio': 0.2}",0.0024152544409977816,0.004853487272038357,0.0016944113424207884,0.0036506515748653875,0.999999983661343,0.9999999355424096
2025-06-23 19:27:05.635606,UNMEM_Mission_success_score,RandomForest,"{'max_depth': 5, 'n_estimators': 100}",1.0497698050495914,3.2334909736620845,0.790884305947833,2.0613720983489774,0.996913411533062,0.9713905451671245
2025-06-23 19:27:05.870163,UNMEM_Mission_success_score,AdaBoost,{'n_estimators': 50},1.5971809531826973,3.016353858629204,1.3590572062175816,2.1517563585960984,0.9928550561457783,0.975103926711979
2025-06-23 19:27:06.109587,UNMEM_Mission_success_score,XGBoost,"{'max_depth': 3, 'n_estimators': 100}",0.02263544829269673,4.090186391282057,0.01675065062766895,2.4763034751198507,0.9999985649442419,0.9542224574338439
2025-06-23 19:27:06.121835,UNSO_Mission_success_score,LinearRegression,{},1.854373134691541e-14,2.0097183471152322e-14,1.4417407836062498e-14,1.5502750598402185e-14,1.0,1.0
2025-06-23 19:27:06.157269,UNSO_Mission_success_score,Lasso,{'alpha': 0.01},0.0032868262036178644,0.005659951561470277,0.0024119504169843615,0.004496528724306614,0.9999999707642374,0.9999999166594102
2025-06-23 19:27:06.194093,UNSO_Mission_success_score,Ridge,{'alpha': 0.01},5.601439288097534e-06,8.17376807116156e-06,4.010735987294393e-06,5.295025047434944e-06,0.9999999999999151,0.9999999999998261
2025-06-23 19:27:06.232707,UNSO_Mission_success_score,ElasticNet,"{'alpha': 0.01, 'l1_ratio': 0.2}",0.002542334245518417,0.005454349830962377,0.0017826133323790986,0.0038972947695930767,0.9999999825085328,0.999999922604249
2025-06-23 19:27:06.693920,UNSO_Mission_success_score,RandomForest,"{'max_depth': 10, 'n_estimators': 100}",0.8886578841333127,2.9092261300746345,0.5848096899224798,1.969940909090913,0.9978628739309177,0.9779815826344472
2025-06-23 19:27:06.986396,UNSO_Mission_success_score,AdaBoost,{'n_estimators': 100},1.3002218275750845,2.763387917988011,1.0755907307504275,2.116814106862465,0.9954249499403828,0.9801337979019198
2025-06-23 19:27:07.257513,UNSO_Mission_success_score,XGBoost,"{'max_depth': 3, 'n_estimators': 200}",0.0019167257329477769,3.125732487371226,0.0013543612457989746,1.9295340902155103,0.9999999900578367,0.9745823875515459
